Transformer_ID,Frequency_Hz,Magnitude_dB,Phase_Degree,Winding_Type,Test_Condition,Temperature_C,Test_Date
TX-029,1184837.29,-79.44,141.14,Tertiary,Healthy,69.6,2025-01-29
TX-030,92919.9,-39.14,47.21,LV,Healthy,53.7,2025-01-30
TX-031,1215097.55,-46.61,106.13,LV,Healthy,46.5,2025-01-31
TX-032,341064.84,-62.23,0.95,LV,Healthy,69.4,2025-02-01
TX-033,130121.88,-70.41,27.69,HV,Loose Connection,37.4,2025-02-02
TX-034,1897772.1,-52.99,-2.69,HV,Winding Deformation,43.1,2025-02-03
TX-035,1931264.75,-4.57,-109.71,HV,Healthy,50.4,2025-02-04
TX-036,1616798.53,-54.14,80.08,HV,Healthy,37.8,2025-02-05
TX-037,609241.45,-38.5,-78.92,HV,Loose Connection,48.4,2025-02-06
TX-038,195362.27,-23.76,-171.25,Tertiary,Loose Connection,60.0,2025-02-07
TX-039,1368472.37,-50.91,52.37,Tertiary,Core Displacement,71.9,2025-02-08
TX-040,880316.18,-2.26,-116.24,HV,Healthy,73.7,2025-02-09
TX-041,244094.03,-3.0,158.57,LV,Core Displacement,77.6,2025-02-10
TX-042,990363.92,-59.86,163.41,HV,Loose Connection,72.1,2025-02-11
TX-043,68796.35,-40.22,149.35,Tertiary,Loose Connection,67.7,2025-02-12
TX-044,1818642.62,-55.93,-46.74,Tertiary,Winding Deformation,36.6,2025-02-13
TX-045,517574.79,-57.21,-174.44,LV,Healthy,48.0,2025-02-14
TX-046,1325051.32,-77.05,154.19,Tertiary,Core Displacement,53.4,2025-02-15
TX-047,623435.92,-31.23,-25.85,HV,Loose Connection,25.8,2025-02-16
TX-048,1040145.64,-39.79,168.0,LV,Loose Connection,57.0,2025-02-17
TX-049,1093429.62,-75.88,166.9,HV,Core Displacement,50.5,2025-02-18
TX-050,369725.21,-57.71,127.08,HV,Winding Deformation,76.1,2025-02-19
TX-051,1939169.86,-7.34,-74.0,LV,Loose Connection,88.5,2025-02-20
TX-052,1550270.14,-60.84,-41.36,HV,Healthy,58.9,2025-02-21
TX-053,1878999.09,-68.41,126.41,Tertiary,Loose Connection,42.6,2025-02-22
TX-054,1789656.8,-40.84,-65.91,HV,Healthy,23.0,2025-02-23
TX-055,1195808.0,-1.15,-118.98,LV,Core Displacement,84.7,2025-02-24
TX-056,1843750.03,-60.64,20.45,LV,Healthy,84.3,2025-02-25
TX-057,177003.23,-26.23,157.02,LV,Core Displacement,37.7,2025-02-26
TX-058,391981.81,-19.07,70.57,HV,Healthy,68.7,2025-02-27
TX-059,90473.67,-60.99,25.22,LV,Core Displacement,25.3,2025-02-28
TX-060,650674.15,-21.74,-145.02,LV,Healthy,31.6,2025-03-01
TX-061,777366.81,-50.58,41.4,HV,Winding Deformation,35.2,2025-03-02
TX-062,542712.64,-29.42,176.42,Tertiary,Healthy,40.6,2025-03-03
TX-063,1657478.44,-29.32,-129.57,HV,Healthy,89.7,2025-03-04
TX-064,713519.52,-37.14,6.6,LV,Winding Deformation,68.8,2025-03-05
TX-065,561883.4,-72.78,135.85,LV,Loose Connection,46.9,2025-03-06
TX-066,1085401.31,-13.18,86.68,HV,Loose Connection,71.6,2025-03-07
TX-067,281865.63,-54.34,70.93,Tertiary,Healthy,84.1,2025-03-08
TX-068,1604397.92,-65.08,72.89,LV,Winding Deformation,87.1,2025-03-09
TX-069,149119.8,-76.74,-50.58,LV,Healthy,24.1,2025-03-10
TX-070,1973774.14,-32.73,-74.31,LV,Core Displacement,47.6,2025-03-11
TX-071,1544494.09,-25.79,111.37,HV,Core Displacement,27.5,2025-03-12
TX-072,397447.39,-78.67,111.64,LV,Healthy,43.5,2025-03-13
TX-073,11064.12,-39.03,132.15,Tertiary,Loose Connection,31.9,2025-03-14
TX-074,1630926.55,-61.88,148.77,LV,Loose Connection,65.3,2025-03-15
TX-075,1413720.55,-28.39,4.08,LV,Healthy,47.2,2025-03-16
TX-076,1458019.76,-66.05,0.55,Tertiary,Healthy,36.1,2025-03-17
TX-077,1542545.27,-24.72,107.39,LV,Core Displacement,38.6,2025-03-18
TX-078,148107.82,-49.06,53.99,HV,Loose Connection,45.2,2025-03-19
TX-079,716944.29,-5.06,72.71,HV,Healthy,38.2,2025-03-20
TX-080,231755.8,-69.0,106.49,HV,Core Displacement,51.7,2025-03-21
TX-081,1726209.59,-52.71,140.4,Tertiary,Loose Connection,22.3,2025-03-22
TX-082,1246603.79,-70.92,-58.32,LV,Winding Deformation,39.6,2025-03-23
TX-083,661809.43,-6.02,-44.79,HV,Core Displacement,48.8,2025-03-24
TX-084,127135.43,-9.81,-146.17,Tertiary,Loose Connection,62.2,2025-03-25
TX-085,621978.42,-59.36,28.18,LV,Loose Connection,39.0,2025-03-26
TX-086,650380.14,-27.2,-167.06,Tertiary,Core Displacement,29.3,2025-03-27
TX-087,1459217.76,-14.62,-12.38,HV,Winding Deformation,25.3,2025-03-28
TX-088,1275122.19,-35.58,15.35,HV,Core Displacement,85.8,2025-03-29
TX-089,1774427.74,-37.63,-76.85,HV,Loose Connection,49.2,2025-03-30
TX-090,944440.41,-60.65,32.7,Tertiary,Healthy,60.7,2025-03-31
TX-091,239206.1,-72.55,-169.02,Tertiary,Healthy,84.3,2025-04-01
TX-092,1426495.31,-8.22,-166.55,HV,Core Displacement,25.8,2025-04-02
TX-093,1521574.88,-7.97,116.14,Tertiary,Loose Connection,81.4,2025-04-03
TX-094,1122563.17,-29.35,-50.33,HV,Healthy,58.6,2025-04-04
TX-095,1541938.94,-52.88,-134.26,HV,Loose Connection,31.5,2025-04-05
TX-096,987601.32,-52.06,8.01,LV,Core Displacement,48.8,2025-04-06
TX-097,1045475.2,-21.92,97.2,Tertiary,Healthy,74.4,2025-04-07
TX-098,855093.49,-8.23,-102.3,HV,Loose Connection,53.6,2025-04-08
TX-099,50857.75,-9.03,44.24,HV,Healthy,89.0,2025-04-09
TX-100,215800.7,-17.61,-149.27,Tertiary,Core Displacement,46.4,2025-04-10
